Research Question,Reference Mean,Reference Median,Reference Std Dev,Reference Min,Reference Max,aggregated_similarity_dataFromCon_Statistics.csv Mean,aggregated_similarity_dataFromCon_Statistics.csv Median,aggregated_similarity_dataFromCon_Statistics.csv Std Dev,aggregated_similarity_dataFromCon_Statistics.csv Min,aggregated_similarity_dataFromCon_Statistics.csv Max,aggregated_similarity_dataFromCon_Statistics.csv Mean Diff,aggregated_similarity_dataFromCon_Statistics.csv Median Diff,aggregated_similarity_dataFromCon_Statistics.csv Std Dev Diff,aggregated_similarity_dataFromCon_Statistics.csv Min Diff,aggregated_similarity_dataFromCon_Statistics.csv Max Diff,aggregated_similarity_dataFromTypestt_Statistics.csv Mean,aggregated_similarity_dataFromTypestt_Statistics.csv Median,aggregated_similarity_dataFromTypestt_Statistics.csv Std Dev,aggregated_similarity_dataFromTypestt_Statistics.csv Min,aggregated_similarity_dataFromTypestt_Statistics.csv Max,aggregated_similarity_dataFromTypestt_Statistics.csv Mean Diff,aggregated_similarity_dataFromTypestt_Statistics.csv Median Diff,aggregated_similarity_dataFromTypestt_Statistics.csv Std Dev Diff,aggregated_similarity_dataFromTypestt_Statistics.csv Min Diff,aggregated_similarity_dataFromTypestt_Statistics.csv Max Diff
Explain the process of learning a fused descriptor from 3D object proposals and encoded sentence embeddings,0.50455212,0.50455212,0.007530665,0.49610585,0.5225192,0.464589955,0.464589955,0.035737421,0.45725393,0.53739864,-0.039962165,-0.039962165,0.028206756,-0.03885192,0.014879440000000077,,,,,,,,,,
How does the ScanQA model learn a fused descriptor?,0.45864816,0.45864816,0.022650959,0.4520953,0.5069189,0.4870207,0.4870207,0.032234664,0.42502382,0.52103865,0.028372539999999946,0.028372539999999946,0.009583705,-0.02707148,0.014119750000000098,,,,,,,,,,
What type of data was collected for the ScanQA dataset Provide details about the human-edited question-answer pairs and the nature of the free-form answers,0.515223295,0.515223295,0.017064521,0.48705804,0.53321975,0.33785173,0.33785173,0.1122964393329382,0.29016885,0.54673094,-0.177371565,-0.177371565,0.095231918,-0.19688919,0.013511190000000006,,,,,,,,,,
How do large language models (LLMs) compare with traditional embedding models in capturing semantic similarity between research questions and abstracts?,0.62127288,0.62127288,0.014033625,0.60188586,0.64279187,0.604450575,0.604450575,0.015582522,0.5811036,0.6375556,-0.016822305,-0.016822305,0.001548897,-0.02078226,-0.00523627,,,,,,,,,,
How does domain-specific training affect the performance of semantic similarity models when applied to different datasets?,0.57442015,0.57442015,0.01911167,0.5590507,0.6182847,0.52776986,0.52776986,0.04409985,0.5071333,0.6460309,-0.04665029,-0.04665029,0.024988180485535198,-0.0519174,0.027746199999999943,,,,,,,,,,
How does model interpretability influence the adoption of semantic similarity techniques in academic and industrial settings?,0.5375049,0.5375049,0.008474826,0.528726,0.5509828,0.536814425,0.536814425,0.031421007,0.52143735,0.6198425,-0.000690475,-0.000690475,0.022946180508930804,-0.00728865,0.0688597,,,,,,,,,,
How does the inclusion of contextual information improve the performance of embedding models in determining semantic similarity?,0.59004265,0.59004265,0.01355584,0.579471,0.6260128,0.539110625,0.539110625,0.029734068,0.52847165,0.60417473,-0.050932025,-0.050932025,0.016178228,-0.05099935,-0.02183807,,,,,,,,,,
How does the scale and quality of training data impact the performance of different semantic similarity models?,0.597248265,0.597248265,0.008646734,0.5816493,0.60906386,0.55240524,0.55240524,0.032077498,0.54906577,0.65432775,-0.044843025,-0.044843025,0.023430763746657198,-0.03258353,0.04526389,,,,,,,,,,
"What are the best practices for evaluating semantic similarity models, and how do these practices vary across different application domains?",0.61804113,0.61804113,0.006587741,0.6086594,0.6286482,0.590869015,0.590869015,0.026331061,0.5688664,0.65832424,-0.027172115,-0.027172115,0.01974332,-0.039793,0.029676040000000015,,,,,,,,,,
What are the challenges and limitations of using large language models for semantic similarity in low-resource or specialized domains?,0.56027325,0.56027325,0.020594306,0.55113876,0.62195724,0.5442448550000001,0.5442448550000001,0.02534899,0.52954704,0.61846906,-0.016028395,-0.016028395,0.004754684,-0.02159172,-0.00348818,,,,,,,,,,
What are the implications of fine-tuning pre-trained models on specific datasets for improving semantic similarity?,0.5767365,0.5767365,0.021552323,0.5713487,0.6433215,0.56976892,0.56976892,0.025469916,0.5563705,0.6437895,-0.00696758,-0.00696758,0.003917593,-0.0149782,0.000468,,,,,,,,,,
What are the most effective hybrid approaches for combining large language models and embedding models to enhance semantic similarity detection?,0.6264076,0.6264076,0.010396402,0.6125532,0.6413866,0.5564104999999999,0.5564104999999999,0.024404963,0.5532843,0.6315694,-0.0699971,-0.0699971,0.014008561,-0.0592689,-0.0098172,,,,,,,,,,
"What role do similarity functions play in the accuracy of semantic similarity models, and which functions are most effective across diverse datasets?",0.583150595,0.583150595,0.019598129,0.5740153,0.6386001,0.58434165,0.58434165,0.030097486,0.5306455,0.6386001,0.001191055,0.001191055,0.010499357,-0.0433698,0,,,,,,,,,,
"How does the incorporation of domain-specific knowledge (e.g., neuroanatomy) into AI models improve the classification accuracy for Alzheimer's disease?",0.603686015,0.603686015,0.007849956,0.59136844,0.61546975,0.573495415,0.573495415,0.009351115,0.56240636,0.5906994,-0.0301906,-0.0301906,0.001501159,-0.02896208,-0.02477035,,,,,,,,,,
How does the integration of ensemble learning methods enhance the accuracy and reliability of Alzheimer's disease prediction models using brain imaging data?,0.69177887,0.69177887,0.023291574,0.67170584,0.73920864,0.6365136,0.6365136,0.034688143,0.62606853,0.73129725,-0.05526527,-0.05526527,0.011396569,-0.04563731,-0.00791139,,,,,,,,,,
How does the integration of multiple models enhance the accuracy and reliability of prediction results  for Alzheimer's disease classification?,0.678533975,0.678533975,0.007876528,0.667818,0.68995005,0.65243383,0.65243383,0.022088214,0.63630134,0.6904855,-0.026100145,-0.026100145,0.014211686,-0.03151666,0.00053545,,,,,,,,,,
"How does the use of multimodal data (e.g., combining MRI and PET scans) affect the performance and reliability of AI models in Alzheimer's disease diagnosis?",0.70381355,0.70381355,0.025366565,0.6855983,0.75828904,0.64446135,0.64446135,0.028967707,0.62363154,0.6943974,-0.0593522,-0.0593522,0.003601142,-0.06196676,-0.06389164,,,,,,,,,,
How does transfer learning from pre-trained models on large-scale image datasets impact the performance of Alzheimer's disease classification models?,0.65942063,0.65942063,0.021397011,0.65089446,0.71355224,0.71283925,0.71283925,0.020449273,0.6863232,0.7414216,0.05341862,0.05341862,-0.000947738,0.03542874,0.027869360000000065,,,,,,,,,,
What are the challenges and solutions in deploying AI models for real-time Alzheimer's disease diagnosis in clinical settings?,0.61860269,0.61860269,0.008602903,0.605022,0.6328782,0.6033829,0.6033829,0.012870537,0.59022033,0.6232856,-0.01521979,-0.01521979,0.004267634,-0.01480167,-0.0095926,,,,,,,,,,
"What are the optimal hyperparameters for Alzheimer's disease classification using transfer learning models, and how do they affect model performance?",0.617313355,0.617313355,0.019841343,0.6031527,0.66115654,0.6600714999999999,0.6600714999999999,0.023777181,0.6364901,0.7000442,0.042758145,0.042758145,0.003935838,0.0333374,0.03888766,,,,,,,,,,
What are the optimal hyperparameters for the classification of Alzheimer's disease using transfer learning models?,0.61618845,0.61618845,0.020188566,0.5973047,0.6607213,0.6571089999999999,0.6571089999999999,0.021779709,0.62815917,0.68946904,0.040920549999999944,0.040920549999999944,0.001591143,0.030854469999999967,0.02874774,,,,,,,,,,
What are the performance differences observed in the models before and after applying specific improvements  for Alzheimer's disease classification?,0.60672463,0.60672463,0.008264905,0.59485793,0.62201,0.5890782,0.5890782,0.009196928,0.5765899,0.6120278,-0.01764643,-0.01764643,0.000932023,-0.01826803,-0.0099822,,,,,,,,,,
What is the most effective configuration or combination of layers that can be added to a model to enhance its performance for image classification problems  for Alzheimer's disease classification?,0.63851805,0.63851805,0.00499851,0.6313022,0.65002376,0.6330911,0.6330911,0.012546434,0.61545545,0.6578341,-0.00542695,-0.00542695,0.007547924,-0.01584675,0.00781034,,,,,,,,,,
What performance improvements are observed in deep learning models for Alzheimer's disease classification after applying advanced preprocessing techniques and hyperparameter tuning?,0.664995535,0.664995535,0.01138098,0.6574212,0.6932239,0.6574212,0.6574212,0.013503975,0.65173066,0.6843468,-0.007574335,-0.007574335,0.002122995,-0.00569054,-0.0088771,,,,,,,,,,
"What role do different preprocessing techniques (e.g., data augmentation, normalization) play in enhancing the performance of deep learning models for Alzheimer's disease classification?",0.62041525,0.62041525,0.036055546,0.61482763,0.73191077,0.61359507,0.61359507,0.01808993,0.6025539,0.6523417,-0.00682018,-0.00682018,-0.017965616,-0.01227373,-0.07956907,,,,,,,,,,
Which combination of convolutional neural network layers and configurations leads to the most significant improvement in the accuracy of Alzheimer's disease classification models?,0.66376242,0.66376242,0.002709657,0.66104674,0.67076164,0.659392,0.659392,0.011072356,0.63927203,0.6658698,-0.00437042,-0.00437042,0.008362699,-0.02177471,-0.00489184,,,,,,,,,,
Which model demonstrates the highest efficiency and accuracy in handling a large volume of brain images for Alzheimer's disease classification?,0.663162725,0.663162725,0.011370896,0.6515094,0.6868763,0.6419983,0.6419983,0.013757031,0.6243931,0.6659379,-0.021164425,-0.021164425,0.002386135,-0.0271163,-0.0209384,,,,,,,,,,
1- How can RAG systems be utilized to enhance the process of automatically updating and maintaining knowledge graphs with the latest information?,0.567165015,0.567165015,0.020135024,0.55601496,0.618523,0.54799865,0.54799865,0.029083445,0.51978356,0.62484264,-0.019166365,-0.019166365,0.008948421,-0.0362314,0.00631964,,,,,,,,,,
2-What methodologies can be developed to validate and verify the accuracy of information retrieved by RAG systems before it is used to update knowledge graphs?,0.49858913,0.49858913,0.015958763,0.49493882,0.5453973,0.47636533,0.47636533,0.012527785,0.4591405,0.49787125,-0.0222238,-0.0222238,-0.003430978,-0.03579832,-0.04752605,,,,,,,,,,
3- How can LLMs be utilized to discover and correct incorrect information in existing knowledge graphs?,0.527436315,0.527436315,0.013757911,0.52377254,0.5675059,0.60447615,0.60447615,0.022244353,0.5619332,0.6193493,0.077039835,0.077039835,0.008486442,0.03816066,0.051843399999999984,,,,,,,,,,
4-How can LLMs facilitate the linking of disparate pieces of information in knowledge graphs to enhance their connectivity and coherence?,0.53696945,0.53696945,0.031153027,0.52526456,0.6168298,0.6182631,0.6182631,0.018636401,0.58483547,0.6269291,0.08129365,0.08129365,-0.012516626,0.05957091,0.010099300000000033,,,,,,,,,,
5-How can the integration of LLMs with KGs improve the overall knowledge management and discovery process?,0.5297215,0.5297215,0.02908043,0.5094712,0.6111959,0.611694245,0.611694245,0.033208641,0.5552329,0.64993024,0.081972745,0.081972745,0.004128211,0.045761700000000016,0.03873434,,,,,,,,,,
6- How do different LLM architectures and models compare in their effectiveness for updating knowledge graphs?,0.579284535,0.579284535,0.019375473,0.5595553,0.6120807,0.62900885,0.62900885,0.008509254,0.62721485,0.6464365,0.049724315,0.049724315,-0.010866219,0.06765955,0.034355799999999936,,,,,,,,,,
Explain the process of learning a fused descriptor from 3D object proposals and encoded sentence embeddings,0.50455212,0.50455212,0.007530665,0.49610585,0.5225192,,,,,,,,,,,0.481077985,0.481077985,0.020607998,0.46273258,0.5167703,-0.023474135,-0.023474135,0.013077333198776402,-0.03337327,-0.0057489
How does the ScanQA model learn a fused descriptor?,0.45864816,0.45864816,0.022650959,0.4520953,0.5069189,,,,,,,,,,,0.4835966,0.4835966,0.027859271,0.4377945,0.5202417,0.02494844,0.02494844,0.005208312,-0.0143008,0.013322800000000079
What type of data was collected for the ScanQA dataset Provide details about the human-edited question-answer pairs and the nature of the free-form answers,0.515223295,0.515223295,0.017064521,0.48705804,0.53321975,,,,,,,,,,,0.482341695,0.482341695,0.011305752,0.45614433,0.48822662,-0.0328816,-0.0328816,-0.005758769,-0.03091371,-0.04499313
How do large language models (LLMs) compare with traditional embedding models in capturing semantic similarity between research questions and abstracts?,0.62127288,0.62127288,0.014033625,0.60188586,0.64279187,,,,,,,,,,,0.55663542,0.55663542,0.02906913,0.5376768,0.6336354,-0.06463746,-0.06463746,0.015035505331382702,-0.06420906,-0.00915647
How does domain-specific training affect the performance of semantic similarity models when applied to different datasets?,0.57442015,0.57442015,0.01911167,0.5590507,0.6182847,,,,,,,,,,,0.50936276,0.50936276,0.036722914,0.49538156,0.58260244,-0.06505739,-0.06505739,0.017611244,-0.06366914,-0.03568226
How does model interpretability influence the adoption of semantic similarity techniques in academic and industrial settings?,0.5375049,0.5375049,0.008474826,0.528726,0.5509828,,,,,,,,,,,0.494204,0.494204,0.051113486,0.4538224,0.59986585,-0.0433009,-0.0433009,0.042638659817143904,-0.0749036,0.04888305
How does the inclusion of contextual information improve the performance of embedding models in determining semantic similarity?,0.59004265,0.59004265,0.01355584,0.579471,0.6260128,,,,,,,,,,,0.5074282,0.5074282,0.050345509,0.47957408,0.64088553,-0.08261445,-0.08261445,0.036789669,-0.09989692,0.01487273
How does the scale and quality of training data impact the performance of different semantic similarity models?,0.597248265,0.597248265,0.008646734,0.5816493,0.60906386,,,,,,,,,,,0.52061548,0.52061548,0.009858991,0.51350695,0.5415326,-0.076632785,-0.076632785,0.001212257,-0.06814235,-0.06753126
"What are the best practices for evaluating semantic similarity models, and how do these practices vary across different application domains?",0.61804113,0.61804113,0.006587741,0.6086594,0.6286482,,,,,,,,,,,0.56097005,0.56097005,0.028530325,0.5232738,0.60146666,-0.05707108,-0.05707108,0.021942584,-0.0853856,-0.02718154
What are the challenges and limitations of using large language models for semantic similarity in low-resource or specialized domains?,0.56027325,0.56027325,0.020594306,0.55113876,0.62195724,,,,,,,,,,,0.54019512,0.54019512,0.021023399,0.51705205,0.59140927,-0.02007813,-0.02007813,0.000429093,-0.03408671,-0.03054797
What are the implications of fine-tuning pre-trained models on specific datasets for improving semantic similarity?,0.5767365,0.5767365,0.021552323,0.5713487,0.6433215,,,,,,,,,,,0.51401108,0.51401108,0.014872391,0.5089324,0.55464005,-0.06272542,-0.06272542,-0.006679932,-0.0624163,-0.08868145
What are the most effective hybrid approaches for combining large language models and embedding models to enhance semantic similarity detection?,0.6264076,0.6264076,0.010396402,0.6125532,0.6413866,,,,,,,,,,,0.5494485499999999,0.5494485499999999,0.018086733,0.5126219,0.5721458,-0.07695905,-0.07695905,0.007690331,-0.0999313,-0.0692408
"What role do similarity functions play in the accuracy of semantic similarity models, and which functions are most effective across diverse datasets?",0.583150595,0.583150595,0.019598129,0.5740153,0.6386001,,,,,,,,,,,0.488558675,0.488558675,0.018595706,0.4676187,0.51569575,-0.09459192,-0.09459192,-0.001002423,-0.1063966,-0.12290435
"How does the incorporation of domain-specific knowledge (e.g., neuroanatomy) into AI models improve the classification accuracy for Alzheimer's disease?",0.603686015,0.603686015,0.007849956,0.59136844,0.61546975,,,,,,,,,,,0.55225635,0.55225635,0.006272373,0.5506724,0.56807524,-0.051429665,-0.051429665,-0.001577583,-0.04069604,-0.04739451
How does the integration of ensemble learning methods enhance the accuracy and reliability of Alzheimer's disease prediction models using brain imaging data?,0.69177887,0.69177887,0.023291574,0.67170584,0.73920864,,,,,,,,,,,0.67417202,0.67417202,0.023111916,0.61706036,0.68378687,-0.01760685,-0.01760685,-0.000179658,-0.05464548,-0.05542177
How does the integration of multiple models enhance the accuracy and reliability of prediction results  for Alzheimer's disease classification?,0.678533975,0.678533975,0.007876528,0.667818,0.68995005,,,,,,,,,,,0.6252257999999999,0.6252257999999999,0.017063529,0.61850095,0.6767983,-0.053308175,-0.053308175,0.009187001,-0.04931705,-0.01315175
"How does the use of multimodal data (e.g., combining MRI and PET scans) affect the performance and reliability of AI models in Alzheimer's disease diagnosis?",0.70381355,0.70381355,0.025366565,0.6855983,0.75828904,,,,,,,,,,,0.60374063,0.60374063,0.017671521,0.5933104,0.63567334,-0.10007292,-0.10007292,-0.007695044,-0.0922879,-0.1226157
How does transfer learning from pre-trained models on large-scale image datasets impact the performance of Alzheimer's disease classification models?,0.65942063,0.65942063,0.021397011,0.65089446,0.71355224,,,,,,,,,,,0.693185,0.693185,0.002285872,0.6889788,0.69572276,0.03376437,0.03376437,-0.019111139,0.03808434,-0.01782948
What are the challenges and solutions in deploying AI models for real-time Alzheimer's disease diagnosis in clinical settings?,0.61860269,0.61860269,0.008602903,0.605022,0.6328782,,,,,,,,,,,0.5623545000000001,0.5623545000000001,0.030112856,0.55638754,0.65128,-0.05624819,-0.05624819,0.021509953387203698,-0.04863446,0.018401800000000024
"What are the optimal hyperparameters for Alzheimer's disease classification using transfer learning models, and how do they affect model performance?",0.617313355,0.617313355,0.019841343,0.6031527,0.66115654,,,,,,,,,,,0.66884476,0.66884476,0.002870305,0.66270953,0.66941094,0.051531405000000086,0.051531405000000086,-0.016971038,0.059556830000000005,0.0082544
What are the optimal hyperparameters for the classification of Alzheimer's disease using transfer learning models?,0.61618845,0.61618845,0.020188566,0.5973047,0.6607213,,,,,,,,,,,0.6686219,0.6686219,0.004059775,0.6620273,0.67395276,0.05243345,0.05243345,-0.016128791,0.0647226,0.013231460000000084
What are the performance differences observed in the models before and after applying specific improvements  for Alzheimer's disease classification?,0.60672463,0.60672463,0.008264905,0.59485793,0.62201,,,,,,,,,,,0.5989776,0.5989776,0.003149834,0.5912807,0.60025144,-0.00774703,-0.00774703,-0.005115071,-0.00357723,-0.02175856
What is the most effective configuration or combination of layers that can be added to a model to enhance its performance for image classification problems  for Alzheimer's disease classification?,0.63851805,0.63851805,0.00499851,0.6313022,0.65002376,,,,,,,,,,,0.60272768,0.60272768,0.007467715,0.5933457,0.6137205,-0.03579037,-0.03579037,0.002469205,-0.0379565,-0.03630326
What performance improvements are observed in deep learning models for Alzheimer's disease classification after applying advanced preprocessing techniques and hyperparameter tuning?,0.664995535,0.664995535,0.01138098,0.6574212,0.6932239,,,,,,,,,,,0.638159165,0.638159165,0.004370758,0.6317885,0.64183164,-0.02683637,-0.02683637,-0.007010222,-0.0256327,-0.05139226
"What role do different preprocessing techniques (e.g., data augmentation, normalization) play in enhancing the performance of deep learning models for Alzheimer's disease classification?",0.62041525,0.62041525,0.036055546,0.61482763,0.73191077,,,,,,,,,,,0.5647144,0.5647144,0.02818795,0.5612674,0.63090646,-0.05570085,-0.05570085,-0.007867596,-0.05356023,-0.10100431
Which combination of convolutional neural network layers and configurations leads to the most significant improvement in the accuracy of Alzheimer's disease classification models?,0.66376242,0.66376242,0.002709657,0.66104674,0.67076164,,,,,,,,,,,0.6200971200000001,0.6200971200000001,0.009333201,0.61423707,0.63968164,-0.0436653,-0.0436653,0.006623544,-0.04680967,-0.03108
Which model demonstrates the highest efficiency and accuracy in handling a large volume of brain images for Alzheimer's disease classification?,0.663162725,0.663162725,0.011370896,0.6515094,0.6868763,,,,,,,,,,,0.63832345,0.63832345,0.009030357,0.6267569,0.65390384,-0.024839275,-0.024839275,-0.002340539,-0.0247525,-0.03297246
1- How can RAG systems be utilized to enhance the process of automatically updating and maintaining knowledge graphs with the latest information?,0.567165015,0.567165015,0.020135024,0.55601496,0.618523,,,,,,,,,,,0.510311785,0.510311785,0.036053661,0.4896202,0.60996073,-0.05685323,-0.05685323,0.015918637,-0.06639476,-0.00856227
2-What methodologies can be developed to validate and verify the accuracy of information retrieved by RAG systems before it is used to update knowledge graphs?,0.49858913,0.49858913,0.015958763,0.49493882,0.5453973,,,,,,,,,,,0.47057652,0.47057652,0.026588572,0.46023437,0.5306113,-0.02801261,-0.02801261,0.010629808640440299,-0.03470445,-0.014786
3- How can LLMs be utilized to discover and correct incorrect information in existing knowledge graphs?,0.527436315,0.527436315,0.013757911,0.52377254,0.5675059,,,,,,,,,,,0.58574177,0.58574177,0.045670903,0.55823964,0.68738174,0.058305455,0.058305455,0.031912992,0.034467100000000084,0.11987583999999996
4-How can LLMs facilitate the linking of disparate pieces of information in knowledge graphs to enhance their connectivity and coherence?,0.53696945,0.53696945,0.031153027,0.52526456,0.6168298,,,,,,,,,,,0.5945141,0.5945141,0.036151832,0.5760213,0.6733245,0.057544650000000086,0.057544650000000086,0.004998805,0.05075674,0.0564947
5-How can the integration of LLMs with KGs improve the overall knowledge management and discovery process?,0.5297215,0.5297215,0.02908043,0.5094712,0.6111959,,,,,,,,,,,0.5655228999999999,0.5655228999999999,0.037127612,0.538406,0.6315091,0.0358014,0.0358014,0.008047182,0.0289348,0.0203132
6- How do different LLM architectures and models compare in their effectiveness for updating knowledge graphs?,0.579284535,0.579284535,0.019375473,0.5595553,0.6120807,,,,,,,,,,,0.6047313,0.6047313,0.019008985,0.5953265,0.6603272,0.025446764999999982,0.025446764999999982,-0.000366488,0.0357712,0.0482465
